Version,Time,Roll_Target,Pitch_Target,Yaw_Target,Roll,Pitch,Yaw,Gyro_Roll_Target,Gyro_Pitch_Target,Gyro_Yaw_Target,Gyro_Roll,Gyro_Pitch,Gyro_Yaw,PWM1,PWM2,PWM3,PWM4
6,455,-0.0000,0.0000,0.1159,2.2816,-0.9596,0.1159,-4.5633,1.9191,-0.2318,0.0206,-0.0090,0.0075,1385,1393,1390,1382
6,456,-0.0000,0.0000,0.1159,2.2812,-0.9597,0.1159,-4.5624,1.9195,0.0004,-0.0326,0.0040,-0.0075,1000,1005,1002,1000
6,457,-0.0000,0.0000,0.1166,2.2819,-0.9608,0.1166,-4.5639,1.9217,0.0003,-0.0188,-0.0312,0.0040,1000,1005,1002,1000
6,458,-0.0000,0.0000,0.1180,2.2835,-0.9599,0.1180,-4.5669,1.9198,-0.0007,-0.0066,0.0358,0.0661,1000,1005,1002,1000
6,459,-0.0000,0.0000,0.1188,2.2838,-0.9604,0.1188,-4.5677,1.9207,-0.2377,-0.0064,-0.0369,0.0001,1385,1393,1390,1382
6,460,-0.0000,0.0000,0.1194,2.2856,-0.9599,0.1194,-4.5712,1.9197,0.0006,0.0595,0.0064,-0.0102,1000,1005,1002,1000
6,461,-0.0000,0.0000,0.1192,2.2853,-0.9615,0.1192,-4.5706,1.9230,-0.0001,-0.0345,-0.0242,0.0110,1000,1005,1002,1000
6,462,-0.0000,0.0000,0.1199,2.2853,-0.9623,0.1199,-4.5705,1.9246,0.0003,-0.0174,-0.0315,0.0028,1000,1005,1002,1000
6,463,-0.0000,0.0000,0.1209,2.2861,-0.9612,0.1209,-4.5721,1.9224,-0.2418,-0.0129,0.0447,0.0365,1385,1393,1390,1382
6,464,-0.0000,0.0000,0.1238,2.2865,-0.9623,0.1238,-4.5730,1.9247,-0.0007,0.0104,-0.0185,0.0659,1000,1005,1002,1000
6,465,-0.0000,0.0000,0.1246,2.2866,-0.9634,0.1246,-4.5731,1.9267,0.0004,-0.0258,-0.0216,-0.0170,1000,1005,1002,1000
6,466,-0.0000,0.0000,0.1240,2.2875,-0.9625,0.1240,-4.5749,1.9249,-0.2481,0.0088,-0.0069,-0.0002,1385,1393,1390,1382
6,467,-0.0000,0.0000,0.1249,2.2881,-0.9630,0.1249,-4.5761,1.9260,-0.0004,-0.0005,-0.0421,0.0260,1000,1005,1002,1000
6,468,-0.0000,0.0000,0.1252,2.2894,-0.9622,0.1252,-4.5788,1.9244,0.0001,0.0216,0.0123,0.0234,1000,1005,1002,1000
6,469,-0.0000,0.0000,0.1249,2.2900,-0.9631,0.1249,-4.5800,1.9262,0.0002,-0.0197,-0.0045,-0.0145,1000,1005,1002,1000
6,470,-0.0000,0.0000,0.1240,2.2911,-0.9628,0.1240,-4.5823,1.9256,-0.0004,-0.0035,0.0063,-0.0129,1000,1005,1002,1000
6,471,-0.0000,0.0000,0.1230,2.2908,-0.9631,0.1230,-4.5816,1.9263,-0.2460,-0.0039,0.0067,-0.0093,1385,1393,1390,1382
6,472,-0.0000,0.0000,0.1252,2.2919,-0.9637,0.1252,-4.5838,1.9274,-0.0005,0.0072,-0.0366,0.0547,1000,1005,1002,1000
6,473,-0.0000,0.0000,0.1268,2.2944,-0.9654,0.1268,-4.5887,1.9309,-0.0007,0.0339,-0.0209,0.0780,1000,1005,1002,1000
6,474,-0.0000,0.0000,0.1269,2.2963,-0.9656,0.1269,-4.5925,1.9313,0.0003,0.0308,-0.0048,-0.0175,1000,1005,1002,1000
6,475,-0.0000,0.0000,0.1275,2.2965,-0.9659,0.1275,-4.5930,1.9318,0.0001,-0.0363,-0.0046,0.0247,1000,1005,1002,1000
6,476,-0.0000,0.0000,0.1300,2.2973,-0.9664,0.1300,-4.5947,1.9329,0.0004,-0.0418,-0.0264,0.0179,1000,1005,1002,1000
6,477,-0.0000,0.0000,0.1290,2.2979,-0.9670,0.1290,-4.5959,1.9341,0.0006,-0.0152,-0.0071,-0.0308,1000,1005,1002,1000
6,478,-0.0000,0.0000,0.1299,2.2984,-0.9686,0.1299,-4.5968,1.9372,-0.0003,-0.0057,-0.0386,0.0291,1000,1005,1002,1000
