Version,Time,Roll_Target,Pitch_Target,Yaw_Target,Roll,Pitch,Yaw,Gyro_Roll_Target,Gyro_Pitch_Target,Gyro_Yaw_Target,Gyro_Roll,Gyro_Pitch,Gyro_Yaw,PWM1,PWM2,PWM3,PWM4
6,4472,-0.0000,0.0000,1.3088,2.1193,-0.9523,1.3088,-4.2386,1.9046,0.0001,-0.0498,0.0111,0.0021,1000,1005,1002,1000
6,4473,-0.0000,0.0000,1.3102,2.1184,-0.9506,1.3102,-4.2369,1.9013,-2.6204,-0.0525,0.0237,0.0563,1460,1470,1463,1461
6,4474,-0.0000,0.0000,1.3102,2.1191,-0.9507,1.3102,-4.2381,1.9014,-0.0004,-0.0206,-0.0350,-0.0032,1000,1005,1001,1000
6,4475,-0.0000,0.0000,1.3102,2.1178,-0.9497,1.3102,-4.2357,1.8993,-0.0000,-0.0560,0.0322,-0.0165,1000,1005,1002,1000
6,4476,-0.0000,0.0000,1.3120,2.1159,-0.9489,1.3120,-4.2319,1.8978,-0.0003,-0.0931,0.0221,0.0335,1000,1004,1001,1000
6,4477,-0.0000,0.0000,1.3118,2.1148,-0.9484,1.3118,-4.2296,1.8968,-0.0005,-0.0468,0.0187,0.0309,1000,1005,1001,1000
6,4478,-0.0000,0.0000,1.3106,2.1149,-0.9477,1.3106,-4.2297,1.8954,0.0005,-0.0560,-0.0018,-0.0297,1000,1005,1002,1000
6,4479,-0.0000,0.0000,1.3102,2.1125,-0.9475,1.3102,-4.2249,1.8951,0.0003,-0.0707,0.0016,-0.0237,1000,1004,1001,1000
6,4480,-0.0000,0.0000,1.3116,2.1106,-0.9472,1.3116,-4.2211,1.8944,-0.0009,-0.0571,0.0239,0.0582,1000,1005,1001,1000
6,4481,-0.0000,0.0000,1.3110,2.1105,-0.9481,1.3110,-4.2210,1.8963,0.0003,-0.0714,0.0074,-0.0203,1000,1005,1001,1000
6,4482,-0.0000,0.0000,1.3107,2.1111,-0.9480,1.3107,-4.2222,1.8960,0.0006,-0.0090,0.0050,-0.0203,1000,1004,1001,1000
6,4483,-0.0000,0.0000,1.3117,2.1112,-0.9494,1.3117,-4.2224,1.8987,0.0003,-0.0194,-0.0447,0.0146,1000,1005,1001,1000
6,4484,-0.0000,0.0000,1.3125,2.1126,-0.9504,1.3125,-4.2253,1.9007,0.0005,-0.0025,-0.0242,-0.0038,1000,1005,1002,1000
6,4485,-0.0000,0.0000,1.3119,2.1137,-0.9491,1.3119,-4.2274,1.8983,0.0001,0.0129,0.0332,-0.0133,1000,1004,1001,1000
6,4486,-0.0000,0.0000,1.3109,2.1132,-0.9507,1.3109,-4.2265,1.9014,0.0011,-0.0377,-0.0355,-0.0314,1000,1005,1001,1000
6,4487,-0.0000,0.0000,1.3110,2.1129,-0.9502,1.3110,-4.2257,1.9005,-0.0006,-0.0167,-0.0139,0.0266,1000,1005,1001,1000
6,4488,-0.0000,0.0000,1.3117,2.1145,-0.9500,1.3117,-4.2290,1.9000,-2.6234,-0.0293,-0.0089,0.0225,1460,1471,1463,1461
6,4489,-0.0000,0.0000,1.3127,2.1131,-0.9504,1.3127,-4.2262,1.9008,-0.0000,-0.0742,-0.0185,0.0470,1000,1005,1001,1000
6,4490,-0.0000,0.0000,1.3129,2.1139,-0.9499,1.3129,-4.2278,1.8997,-0.0003,-0.0417,0.0021,0.0029,1000,1005,1001,1000
6,4491,-0.0000,0.0000,1.3146,2.1142,-0.9503,1.3146,-4.2285,1.9005,-0.0009,-0.0345,-0.0079,0.0252,1000,1004,1001,1000
6,4492,-0.0000,0.0000,1.3164,2.1152,-0.9508,1.3164,-4.2304,1.9015,-0.0004,-0.0235,-0.0081,0.0285,1000,1005,1001,1000
6,4493,-0.0000,0.0000,1.3184,2.1159,-0.9516,1.3184,-4.2319,1.9032,-0.0000,-0.0322,0.0031,0.0288,1000,1005,1001,1000
6,4494,-0.0000,0.0000,1.3196,2.1156,-0.9510,1.3196,-4.2311,1.9020,-2.6392,-0.0382,0.0077,0.0322,1460,1471,1463,1461
6,4495,-0.0000,0.0000,1.3195,2.1148,-0.9494,1.3195,-4.2296,1.8988,0.0003,-0.0340,0.0388,-0.0267,1000,1005,1002,1000
6,4496,-0.0000,0.0000,1.3190,2.1162,-0.9505,1.3190,-4.2324,1.9011,-0.0001,-0.0265,-0.0212,0.0090,1000,1005,1001,1000
6,4497,-0.0000,0.0000,1.3187,2.1156,-0.9524,1.3187,-4.2312,1.9048,-2.6374,-0.0768,-0.0505,0.0031,1460,1470,1463,1461
6,4498,-0.0000,0.0000,1.3190,2.1145,-0.9516,1.3190,-4.2289,1.9033,0.0001,-0.0598,0.0201,-0.0022,1000,1005,1002,1000
6,4499,-0.0000,0.0000,1.3204,2.1147,-0.9516,1.3204,-4.2294,1.9032,-0.0003,-0.0341,0.0019,0.0172,1000,1005,1001,1000
6,4500,-0.0000,0.0000,1.3207,2.1146,-0.9512,1.3207,-4.2291,1.9024,-0.0005,-0.0555,0.0286,0.0179,1000,1004,1001,1000
6,4501,-0.0000,0.0000,1.3217,2.1140,-0.9504,1.3217,-4.2279,1.9007,-0.0003,-0.0452,0.0112,0.0235,1000,1005,1001,1000
6,4502,-0.0000,0.0000,1.3226,2.1156,-0.9509,1.3226,-4.2311,1.9018,-0.0006,-0.0084,-0.0287,0.0132,1000,1005,1001,1000
6,4503,-0.0000,0.0000,1.3216,2.1168,-0.9516,1.3216,-4.2336,1.9033,-2.6432,-0.0302,-0.0191,-0.0105,1459,1471,1463,1460
6,4504,-0.0000,0.0000,1.3211,2.1159,-0.9514,1.3211,-4.2319,1.9028,0.0008,-0.0371,0.0239,-0.0557,1000,1005,1002,1000
6,4505,-0.0000,0.0000,1.3205,2.1155,-0.9517,1.3205,-4.2309,1.9035,0.0002,-0.0335,0.0039,-0.0307,1000,1005,1002,1000
6,4506,-0.0000,0.0000,1.3218,2.1140,-0.9532,1.3218,-4.2279,1.9064,-2.6436,-0.0556,-0.0413,0.0208,1460,1471,1463,1461
6,4507,-0.0000,0.0000,1.3208,2.1130,-0.9516,1.3208,-4.2261,1.9033,0.0002,-0.0543,0.0212,-0.0283,1000,1005,1002,1000
6,4508,-0.0000,0.0000,1.3208,2.1145,-0.9513,1.3208,-4.2289,1.9025,0.0005,0.0053,0.0231,-0.0228,1000,1005,1002,1000
6,4509,-0.0000,0.0000,1.3201,2.1143,-0.9521,1.3201,-4.2286,1.9043,0.0003,-0.0550,-0.0459,-0.0329,1000,1004,1001,1000
6,4510,-0.0000,0.0000,1.3203,2.1150,-0.9540,1.3203,-4.2299,1.9079,-0.0000,-0.0171,-0.0493,-0.0014,1000,1005,1001,1000
6,4511,-0.0000,0.0000,1.3202,2.1146,-0.9547,1.3202,-4.2292,1.9094,0.0010,-0.0426,-0.0014,-0.0354,1000,1005,1002,1000
6,4512,-0.0000,0.0000,1.3219,2.1155,-0.9550,1.3219,-4.2309,1.9100,0.0001,-0.0512,-0.0071,0.0269,1000,1004,1001,1000
6,4513,-0.0000,0.0000,1.3222,2.1152,-0.9549,1.3222,-4.2305,1.9098,-0.0003,-0.0552,0.0273,0.0152,1000,1005,1001,1000
6,4514,-0.0000,0.0000,1.3228,2.1159,-0.9535,1.3228,-4.2318,1.9071,-0.0006,-0.0333,0.0302,0.0222,1000,1005,1002,1000
6,4515,-0.0000,0.0000,1.3225,2.1173,-0.9536,1.3225,-4.2346,1.9073,-0.0001,0.0111,-0.0017,-0.0094,1000,1004,1001,1000
6,4516,-0.0000,0.0000,1.3222,2.1184,-0.9542,1.3222,-4.2368,1.9083,-0.0001,-0.0251,0.0006,0.0058,1000,1005,1002,1000
6,4517,-0.0000,0.0000,1.3219,2.1176,-0.9552,1.3219,-4.2352,1.9104,-0.0005,-0.0287,-0.0071,0.0066,1000,1005,1001,1000
6,4518,-0.0000,0.0000,1.3214,2.1170,-0.9546,1.3214,-4.2339,1.9091,0.0002,-0.0813,0.0025,0.0058,1000,1004,1001,1000
6,4519,-0.0000,0.0000,1.3211,2.1174,-0.9546,1.3211,-4.2348,1.9092,0.0001,-0.0619,0.0306,0.0126,1000,1005,1001,1000
6,4520,-0.0000,0.0000,1.3210,2.1167,-0.9539,1.3210,-4.2334,1.9078,0.0002,-0.0408,0.0141,0.0090,1000,1005,1002,1000
